"","local_site","location","year","date","TN","TDN","PN","DON","IN","TP","TDP","PP","DOP","IP"
"1","ALB","INLET",1994,1994-05-19,NA,NA,NA,NA,13.45,NA,NA,NA,NA,NA
"2","ALB","INLET",1994,1994-05-26,NA,NA,NA,NA,18.2,NA,NA,NA,NA,NA
"3","ALB","INLET",1994,1994-06-02,NA,NA,NA,NA,16.85,NA,NA,NA,NA,NA
"4","ALB","INLET",1994,1994-06-09,NA,NA,NA,NA,15.69,NA,NA,NA,NA,NA
"5","ALB","INLET",1994,1994-06-16,NA,NA,NA,NA,16.57,NA,NA,NA,NA,NA
"6","ALB","INLET",1994,1994-06-23,NA,NA,NA,NA,15.52,NA,NA,NA,NA,NA
"7","ALB","INLET",1994,1994-06-30,NA,NA,NA,NA,14.18,NA,NA,NA,NA,NA
"8","ALB","INLET",1994,1994-07-07,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA
"9","ALB","INLET",1994,1994-07-14,NA,NA,NA,NA,8.49,NA,NA,NA,NA,NA
"10","ALB","INLET",1994,1994-07-21,NA,NA,NA,NA,9.47,NA,NA,NA,NA,NA
"11","ALB","INLET",1994,1994-07-28,NA,NA,NA,NA,6.93,NA,NA,NA,NA,NA
"12","ALB","INLET",1994,1994-08-04,NA,NA,NA,NA,5.22,NA,NA,NA,NA,NA
"13","ALB","INLET",1994,1994-08-11,NA,NA,NA,NA,5.77,NA,NA,NA,NA,NA
"14","ALB","INLET",1994,1994-08-18,NA,NA,NA,NA,5.44,NA,NA,NA,NA,NA
"15","ALB","INLET",1994,1994-08-25,NA,NA,NA,NA,5.37,NA,NA,NA,NA,NA
"16","ALB","INLET",1994,1994-09-01,NA,NA,NA,NA,3.86,NA,NA,NA,NA,NA
"17","ALB","INLET",1994,1994-09-08,NA,NA,NA,NA,4.22,NA,NA,NA,NA,NA
"18","ALB","INLET",1994,1994-09-15,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA
"19","ALB","INLET",1994,1994-09-22,NA,NA,NA,NA,2.56,NA,NA,NA,NA,NA
"20","ALB","INLET",1994,1994-09-29,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA
"21","ALB","INLET",1994,1994-10-13,NA,NA,NA,NA,3.78,NA,NA,NA,NA,NA
"22","ALB","INLET",1994,1994-10-27,NA,NA,NA,NA,2.85,NA,NA,NA,NA,NA
"23","ALB","INLET",1995,1995-03-29,NA,NA,NA,NA,3.67,NA,NA,NA,NA,NA
"24","ALB","INLET",1995,1995-04-28,NA,NA,NA,NA,3.72,NA,NA,NA,NA,NA
"25","ALB","INLET",1995,1995-05-31,NA,NA,NA,NA,14.58,NA,NA,NA,NA,NA
"26","ALB","INLET",1995,1995-06-08,NA,NA,NA,NA,25.84,NA,NA,NA,NA,NA
"27","ALB","INLET",1995,1995-06-15,NA,NA,NA,NA,25.04,NA,NA,NA,NA,NA
"28","ALB","INLET",1995,1995-06-22,NA,NA,NA,NA,23.64,NA,NA,NA,NA,NA
"29","ALB","INLET",1995,1995-06-29,NA,NA,NA,NA,21.27,NA,NA,NA,NA,NA
"30","ALB","INLET",1995,1995-07-06,NA,NA,NA,NA,20.49,NA,NA,NA,NA,NA
"31","ALB","INLET",1995,1995-07-13,NA,NA,NA,NA,19.08,NA,NA,NA,NA,NA
"32","ALB","INLET",1995,1995-07-20,NA,NA,NA,NA,14.65,NA,NA,NA,NA,NA
"33","ALB","INLET",1995,1995-07-27,NA,NA,NA,NA,12.03,NA,NA,NA,NA,NA
"34","ALB","INLET",1995,1995-08-03,NA,NA,NA,NA,9.41,NA,NA,NA,NA,NA
"35","ALB","INLET",1995,1995-08-10,NA,NA,NA,NA,9.2,NA,NA,NA,NA,NA
"36","ALB","INLET",1995,1995-08-17,NA,NA,NA,NA,7.88,NA,NA,NA,NA,NA
"37","ALB","INLET",1995,1995-08-24,NA,NA,NA,NA,6.22,NA,NA,NA,NA,NA
"38","ALB","INLET",1995,1995-08-31,NA,NA,NA,NA,4.79,NA,NA,NA,NA,NA
"39","ALB","INLET",1995,1995-09-07,NA,NA,NA,NA,3.15,NA,NA,NA,NA,NA
"40","ALB","INLET",1995,1995-09-14,NA,NA,NA,NA,3.44,NA,NA,NA,NA,NA
"41","ALB","INLET",1995,1995-09-21,NA,NA,NA,NA,2.38,NA,NA,NA,NA,NA
"42","ALB","INLET",1995,1995-09-28,NA,NA,NA,NA,1.98,NA,NA,NA,NA,NA
"43","ALB","INLET",1995,1995-10-05,NA,NA,NA,NA,1.87,NA,NA,NA,NA,NA
"44","ALB","INLET",1995,1995-10-30,NA,NA,NA,NA,1.65,NA,NA,NA,NA,NA
"45","ALB","INLET",1996,1996-05-16,27.09,19.99,7.1,6.77,13.22,0.42,0.27,0.15,NA,NA
"46","ALB","INLET",1996,1996-05-23,28.41,20.75,7.65,8.21,12.54,0.46,0.08,0.38,NA,NA
"47","ALB","INLET",1996,1996-05-30,34.37,23.79,10.58,9,14.79,0.43,0.33,0.1,NA,NA
"48","ALB","INLET",1996,1996-06-06,32.66,24.85,7.82,9.28,15.56,0.55,0.11,0.45,NA,NA
"49","ALB","INLET",1996,1996-06-13,31.22,26.62,4.6,7.02,19.6,0.48,0.26,0.22,NA,NA
"50","ALB","INLET",1996,1996-06-20,22.78,23.05,NA,3.81,19.25,0.53,0.23,0.3,NA,NA
"51","ALB","INLET",1996,1996-06-27,24.62,25.07,NA,7.09,17.98,0.22,0,0.22,NA,NA
"52","ALB","INLET",1996,1996-07-04,16.41,17.26,NA,1.89,15.37,0.31,0,0.31,NA,NA
"53","ALB","INLET",1996,1996-07-11,21.35,16.02,5.33,1.92,14.11,0.35,0.11,0.24,NA,NA
"54","ALB","INLET",1996,1996-07-18,18.03,12.28,5.75,1.07,11.21,0.35,0.11,0.24,NA,NA
"55","ALB","INLET",1996,1996-07-25,16.81,12.2,4.61,3.5,8.71,0.24,0.23,NA,NA,NA
"56","ALB","INLET",1996,1996-08-01,14.3,10.53,3.77,4.05,6.48,0.22,0.18,0.04,NA,NA
"57","ALB","INLET",1996,1996-08-08,13.44,7.03,6.4,1.87,5.16,0.07,0.05,0.02,NA,NA
"58","ALB","INLET",1996,1996-08-15,11.24,7.16,4.08,1.41,5.75,0.3,0.23,0.06,NA,NA
"59","ALB","INLET",1996,1996-08-22,11.69,7.93,3.76,1.78,6.15,0.57,0.15,0.42,NA,NA
"60","ALB","INLET",1996,1996-08-29,10.09,7.28,2.81,2.72,4.56,0.29,0.26,0.03,NA,NA
"61","ALB","INLET",1996,1996-09-10,13.15,9.29,3.86,3.87,5.42,0.49,0.27,0.22,NA,NA
"62","ALB","INLET",1996,1996-09-24,11.62,8.8,2.82,3.95,4.85,0.2,0.18,0.02,NA,NA
"63","ALB","INLET",1996,1996-10-01,9,7.9,1.1,5.21,2.69,0.17,0.08,0.09,NA,NA
"64","ALB","INLET",1996,1996-10-08,14.47,9.5,4.97,4.17,5.33,0.26,0.1,0.16,NA,NA
"65","ALB","INLET",1996,1996-11-19,13.95,9.92,4.03,5.89,4.04,0.32,0.22,0.1,NA,NA
"66","ALB","INLET",1997,1997-03-26,NA,NA,NA,NA,4.54,NA,NA,NA,NA,NA
"67","ALB","INLET",1997,1997-05-29,NA,NA,NA,NA,15.46,NA,NA,NA,NA,NA
"68","ALB","INLET",1997,1997-06-05,NA,NA,NA,NA,17.9,NA,NA,NA,NA,NA
"69","ALB","INLET",1997,1997-06-19,NA,NA,NA,NA,19.55,NA,NA,NA,NA,NA
"70","ALB","INLET",1997,1997-06-26,NA,NA,NA,NA,18.05,NA,NA,NA,NA,NA
"71","ALB","INLET",1997,1997-07-03,NA,NA,NA,NA,15.38,NA,NA,NA,NA,NA
"72","ALB","INLET",1997,1997-07-10,NA,NA,NA,NA,13.02,NA,NA,NA,NA,NA
"73","ALB","INLET",1997,1997-07-17,NA,NA,NA,NA,10.83,NA,NA,NA,NA,NA
"74","ALB","INLET",1997,1997-07-24,NA,NA,NA,NA,7.77,NA,NA,NA,NA,NA
"75","ALB","INLET",1997,1997-07-31,NA,NA,NA,NA,5.99,NA,NA,NA,NA,NA
"76","ALB","INLET",1997,1997-08-07,NA,NA,NA,NA,6.05,NA,NA,NA,NA,NA
"77","ALB","INLET",1997,1997-08-14,NA,NA,NA,NA,7.27,NA,NA,NA,NA,NA
"78","ALB","INLET",1997,1997-08-21,NA,NA,NA,NA,7.47,NA,NA,NA,NA,NA
"79","ALB","INLET",1997,1997-08-28,NA,NA,NA,NA,6.35,NA,NA,NA,NA,NA
"80","ALB","INLET",1997,1997-09-04,NA,NA,NA,NA,5.38,NA,NA,NA,NA,NA
"81","ALB","INLET",1997,1997-09-11,NA,NA,NA,NA,4.83,NA,NA,NA,NA,NA
"82","ALB","INLET",1997,1997-09-18,NA,NA,NA,NA,4.51,NA,NA,NA,NA,NA
"83","ALB","INLET",1997,1997-09-25,NA,NA,NA,NA,4.54,NA,NA,NA,NA,NA
"84","ALB","INLET",1997,1997-10-02,NA,NA,NA,NA,6.29,NA,NA,NA,NA,NA
"85","ALB","INLET",1997,1997-10-09,NA,NA,NA,NA,4.54,NA,NA,NA,NA,NA
"86","ALB","INLET",1997,1997-10-23,NA,NA,NA,NA,3.14,NA,NA,NA,NA,NA
"87","ALB","INLET",1997,1997-11-06,NA,NA,NA,NA,4.79,NA,NA,NA,NA,NA
"88","ALB","INLET",1998,1998-02-12,9.7,6.12,3.58,0.19,5.92,0.46,0.04,0.42,0.04,NA
"89","ALB","INLET",1998,1998-04-30,10.51,9.72,0.79,1.69,8.03,0.12,0.06,0.06,0.06,NA
"90","ALB","INLET",1998,1998-05-12,20.65,21.5,NA,13.05,8.45,0.22,0.15,0.07,0.15,NA
"91","ALB","INLET",1998,1998-05-21,15.45,14.91,0.54,2.6,12.31,0.27,0.11,0.16,0.11,NA
